Magento_Ui/js/dynamic-rows/record,Magento_Ui/js/dynamic-rows/record
"Add New Rule","Add New Rule"
Delete,Delete
"Delete items","Delete items"
"Are you sure you want to delete selected rule(s)?","Are you sure you want to delete selected rule(s)?"
"Update Attribute Rule","Update Attribute Rule"
"Attribute Rule Status","Attribute Rule Status"
"Are you sure to update status of selected Rule(s)?","Are you sure to update status of selected Rule(s)?"
Id,Id
"Option Label","Option Label"
"Created At","Created At"
"Add New Cart Rule","Add New Cart Rule"
"Are you sure you want to delete selected cart rules?","Are you sure you want to delete selected cart rules?"
"Update Cart Rule","Update Cart Rule"
"Cart Rule Status","Cart Rule Status"
"Are you sure to update status of selected Cart Rules?","Are you sure to update status of selected Cart Rules?"
"Start Date","Start Date"
"Add New Transaction","Add New Transaction"
"Customer Id","Customer Id"
"Total Reward Points","Total Reward Points"
"Remaining Reward Points","Remaining Reward Points"
"Used Reward Points","Used Reward Points"
"Transaction At","Transaction At"
Action,Action
Note,Note
"My Reward Points","My Reward Points"
"Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0).","Reward points credit to customer after/before days of the customer birthday, if you want to credit reward before the birthday then write days with (-) sign for eg: -3 and if you want to credit reward after birthday then only write number of days for eg: 3 or if you want to credit reward on the day of birthday then write zero (0)."
